n. runs: 15%n0,1,360,76.73333
1,2,360,22.533333,3.4053254
1,3,360,16.733334,4.585657
1,4,360,15.0,5.1155553
1,5,360,13.866667,5.5336537
1,6,360,11.333333,6.770588
1,7,360,11.4,6.730994
1,8,360,11.933333,6.430167
n. runs: 15%n0,1,480,66.13333
1,2,480,32.2,2.0538301
1,3,480,23.133333,2.8587894
1,4,480,19.666666,3.362712
1,5,480,19.8,3.3400674
1,6,480,18.333334,3.6072724
1,7,480,17.8,3.7153559
1,8,480,16.466667,4.016194
n. runs: 15%n0,1,720,182.66667
1,2,720,97.8,1.8677573
1,3,720,71.933334,2.5393884
1,4,720,64.46667,2.8335056
1,5,720,58.666668,3.1136365
1,6,720,56.2,3.2502966
1,7,720,54.0,3.3827162
1,8,720,49.666668,3.6778524
n. runs: 15%n0,1,1080,424.06668
1,2,1080,223.13333,1.900508
1,3,1080,164.46666,2.5784357
1,4,1080,146.93333,2.8861163
1,5,1080,143.06667,2.9641194
1,6,1080,133.26666,3.1820912
1,7,1080,124.4,3.4088962
1,8,1080,120.6,3.5163076
n. runs: 15%n0,1,2160,1699.4
1,2,2160,934.2,1.8190966
1,3,2160,754.13336,2.2534475
1,4,2160,610.8,2.7822528
1,5,2160,664.06665,2.5590806
1,6,2160,590.2,2.8793628
1,7,2160,607.93335,2.7953722
1,8,2160,568.5333,2.9890947
n. runs: 15%n0,1,4320,5937.7334
1,2,4320,2720.6,2.1825087
1,3,4320,1979.0,3.0003705
1,4,4320,1669.4,3.5568068
1,5,4320,1673.8,3.5474567
1,6,4320,1706.9333,3.4785972
1,7,4320,1698.2667,3.496349
1,8,4320,1707.9333,3.4765604
n. runs: 15%n0,1,8640,24078.533
1,2,8640,14421.333,1.6696469
1,3,8640,11985.2,2.0090222
1,4,8640,14558.467,1.6539196
1,5,8640,12295.866,1.9582624
1,6,8640,11272.866,2.1359725
1,7,8640,11120.066,2.1653228
1,8,8640,10935.533,2.2018619
